company,state,ticker,exchange,profit,debt,assets,ipo_date,ipo_fees,ipo_price,ipo_amount,industry
NightHawk Radiology Holdings Inc,Idaho,NHWK,Nasdaq,-12.7,0,32,5/10/2005,8.709,16,100.8,Health
Morgans Hotel Group Co,New York,MHGC,Nasdaq,81.6,457.6,606.3,27/10/2005,8.028,20,360,Services
Alexza Pharmaceuticals Inc,California,ALXA,Nasdaq,-30,5.7,86.1,22/12/2005,11.348,8,44,Chemical
Eagle Test Systems Inc,Illinois,EGLT,Nasdaq,0,0.5,77.1,20/12/2005,8.886,15.5,100.75,Machinery
Clayton Holdings Inc,Connecticut,CLAY,Nasdaq,31.3,79.9,247.5,7/11/2005,10.451,17,127.5,Consulting
Visicu Inc,Maryland,EICU,Nasdaq,0,0,38.2,29/11/2005,8.63,16,96,IT
Castle Brands Inc,New York,ROX,American,-11.4,13.6,43.6,29/09/2005,14.54,9,31.5,Food
Sealy Corp,North Carolina,ZZ,New York,228.3,796.1,908.5,30/06/2005,7.47,16,448,Furniture
Complete Production Services Inc,Texas,CPX,New York,0,434.8,1059.7,30/09/2005,6.717,24,624,Oil
CPI International Inc,California,CPII,Nasdaq,0,246.8,445.8,23/12/2005,8.574,18,127.05966,Energy
Delek US Holdings Inc,Tennessee,DK,New York,0,211.4,621.8,8/02/2006,8.402,16,160,Oil
DynCorp International LLC,Virginia,DCP,New York,148.7,629.3,1227.6,28/09/2005,7.6,15,375,Consulting
BioMimetic Therapeutics Inc,Tennessee,BMTI,Nasdaq,0,0,47.7,10/02/2006,14.88,8,36.8,Health
Mueller Water Products Inc,Georgia,MWA,New York,0,0,2964.8,3/02/2006,6.435,16,400,Machinery
Town Sports International Holdings Inc,New York,CLUB,Nasdaq,87,275,419.3,6/07/2005,9.014,13,116.35,Services
Alphatec Holdings Inc,California,ATEC,Nasdaq,0,3.3,115.7,6/02/2006,14.646,9,83.7,Health
Luna Innovations Inc,Virginia,LUNA,Nasdaq,0,5.1,20.8,10/02/2006,14.143,6,21,Chemical
Verasun Energy Corp,South Dakota,VSE,New York,0,208.8,413.5,30/03/2006,7.506,23,419.75,Chemical
Houston Wire & Cable Co,Texas,HWCC,Nasdaq,0,0,87.9,24/03/2006,8.357,13,110.5,Energy
"Home BancShares Inc,Conway, Arkansas",Arkansas,HOMB,Nasdaq,0,171,1961.5,14/03/2006,8.773,18,45,Finance
PGT Inc,Florida,PGTI,Nasdaq,0,317.4,461.3,10/03/2006,7.69,14,123.529406,Metal
Aventine Renewable Energy Holdings Inc,Illinois,AVR,New York,0,160,238,30/03/2006,5.642,43,389.51335,Chemical
Ascent Solar Technologies Inc,Colorado,ASTI,Nasdaq,0,0,1.2,23/01/2006,15.243,5.5,16.5,Machinery
Cowen Group Inc,New York,COWN,Nasdaq,0,0,789.9,21/03/2006,10.266,16,179.478272,Finance
Cleveland Biolabs Inc,New York,CBLI,Nasdaq,0,0.1,2.4,17/02/2006,12.941,6,10.2,Agriculture
Evercore Partners Inc,New York,EVR,New York,0,0.1,83.9,12/05/2006,14.233,21,82.95,Finance
Home Diagnostics Inc,Florida,HDIX,Nasdaq,0,0,87.7,1/05/2006,8.757,12,79.193844,Health
Riverbed Technology Inc,California,RVBD,Nasdaq,0,0.3,44.7,20/04/2006,9.948,9.75,85.8,IT
CommVault Systems Inc,New Jersey,CVLT,Nasdaq,0,0,78.1,17/03/2006,8.349,14.5,161.1111095,IT
DivX Inc,California,DIVX,Nasdaq,0,0.2,43,5/05/2006,8.672,16,145.6,IT
Porter Bancorp Inc,Kentucky,PBIB,Nasdaq,0,82,1013.4,11/04/2006,9.285,24,37.2,Finance
EV Energy Partners LP,Texas,EVEP,Nasdaq,0,10.4,85.7,15/05/2006,9.064,20,78,Oil
ICF International Inc,Virginia,ICFI,Nasdaq,0,13.6,171.8,11/05/2006,10.926,12,56.04,Consulting
Bare Escentuals Inc,California,BARE,Nasdaq,103.3,690,119.8,30/06/2006,7.527,22,352,Chemical
Shutterfly Inc,California,SFLY,Nasdaq,0,1.9,54.6,29/06/2006,9.894,15,87,Chemical
BreitBurn Energy Partners LP,California,BBEP,Nasdaq,0,2,366.6,12/05/2006,9.742,18.5,111,Oil
Acme Packet Inc,Massachusetts,APKT,Nasdaq,0,0,55.3,2/06/2006,8.755,9.5,109.008016,IT
eHealth Inc,California,EHTH,Nasdaq,0,0,23,25/04/2006,12.109,14,70,Finance
First Mercury Financial Corp,Michigan,FMR,New York,0,46.4,443.1,30/05/2006,8.318,17,164.999994,Finance
Stanley Inc,Virginia,SXE,New York,0,37,197.4,12/05/2006,9.973,13,81.9,IT
Trubion Pharmaceuticals Inc,Washington,TRBN,Nasdaq,0,6.7,59,2/06/2006,10.679,13,52,Agriculture
LeMaitre Vascular Inc,Massachusetts,LMAT,Nasdaq,1.8,0,27.6,25/04/2006,14.273,7,38.5,Health
Douglas Emmett Inc,California,DEI,New York,0,2785.2,3062.2,16/06/2006,6.192,21,1386,Finance
Cadence Pharmaceuticals Inc,California,CADX,Nasdaq,0,4.7,45.1,17/07/2006,9.899,9,54,Chemical
Eagle Rock Energy Partners LP,Texas,EROC,Nasdaq,0,405.7,768.8,6/06/2006,7.631,19,237.5,Oil
Achillion Pharmaceuticals Inc,Connecticut,ACHN,Nasdaq,0,5.3,19.4,31/03/2006,10.193,11.5,51.75,Chemical
Southern National Bancorp of Virginia Inc,Virginia,SONA,Nasdaq,0,0,156.9,4/08/2006,4.7,14,25.004,Finance
Debt Resolve Inc,New York,DRV,American,-12.3,0,0.7,20/07/2006,14.8,5,12.5,IT
Innophos Holdings Inc,New Jersey,IPHS,Nasdaq,0,398.3,615.3,19/07/2006,9.875,12,104.347824,Chemical
ORBCOMM Inc,New Jersey,ORBC,Nasdaq,0,0.9,76.4,12/05/2006,10.447,11,101.5388,Communications
Catalyst Pharmaceutical Partners Inc,Florida,CPRX,Nasdaq,0,0,3.5,25/07/2006,11.975,6,20.1,Chemical
KBW Inc,New York,KBW,New York,0,0,726.1,11/08/2006,8.522,21,142.8,Finance
ACA Capital Holdings Inc,New York,ACAH,New York,0,2225.9,6049.3,9/05/2006,11.544,13,89.681033,Finance
Capella Education Co,Minnesota,CPLA,Nasdaq,0,0,108.9,18/04/2005,10.776,20,80,IT
Thermage Inc,California,THRM,Nasdaq,0,0,25,10/08/2006,12.343,7,42,Energy
Metabolix Inc,Massachusetts,MBLX,Nasdaq,0,0,21.4,14/07/2006,9.101,14,95.2,Agriculture
Emergent BioSolutions Inc,Maryland,EBS,New York,12.1,31.4,120,14/08/2006,12.52,12.5,62.5,Chemical
Constellation Energy Partners LLC,Maryland,CEP,New York,16.1,22,201.7,13/06/2006,9.319,21,94.5,Oil
Hansen Medical Inc,California,HNSN,Nasdaq,-21.4,3.3,21.5,16/08/2006,9.783,12,75,Health
Hertz Global Holdings Inc,New Jersey,HTZ,New York,0,9766.2,19465.4,14/07/2006,4.779,15,1323.525,Transport
First Solar Inc,Arizona,FSLR,Nasdaq,0,61,255.1,30/06/2006,7.159,20,400,Machinery
NYMEX Holdings Inc,New York,NMX,New York,441.6,80.3,2952.1,14/07/2006,7.597,59,383.5,Finance
Venoco Inc,Colorado,VQ,New York,152.9,529.6,889.2,19/12/2005,7.666,17,212.5,Oil
Spirit AeroSystems Holdings Inc,Kansas,SPR,New York,0,594.3,2335.4,30/06/2006,5.546,26,1432.166684,Machinery
Willdan Group Inc,California,WLDN,Nasdaq,0,0.4,37.8,9/08/2006,13.034,10,29,Engineering
Netlist Inc,California,NLST,Nasdaq,7.6,1.2,42,18/08/2006,10.6,7,43.75,Machinery
Allegiant Travel Co,Nevada,ALGT,Nasdaq,24,57.9,189.8,15/05/2006,8.353,18,90,Transport
Guidance Software Inc,California,GUID,Nasdaq,0,0.5,26.6,15/09/2006,12.293,11.5,57.5,IT
IPG Photonics Corp,Massachusetts,IPGP,Nasdaq,36.3,30.1,141.4,11/08/2006,8.405,16.5,148.5,Machinery
MEDecision Inc,Pennsylvania,MEDE,Nasdaq,3.2,2.6,32.5,11/08/2006,15.085,10,47,IT
Cal Dive International Inc,Texas,DVR,New York,0,181.7,405.4,31/05/2006,7.888,13,288.249,Oil
Carrols Restaurant Group Inc,New York,TAST,Nasdaq,74.5,356,483.7,22/09/2006,8.948,13,130,Restaurant
Universal Power Group Inc,Texas,UPG,American,3.3,5.9,32,12/09/2006,9.571,7,21,Machinery
Legacy Reserves LP,Texas,LGCY,Nasdaq,29.7,4,273.4,13/11/2006,8.373,19,114,Oil
Duncan Energy Partners LP,Texas,DEP,New York,75.8,169,804.1,2/11/2006,7.083,21,273,Oil
Employers Holdings Inc,Nevada,EIG,New York,0,0,3121.9,4/12/2006,7.666,17,454.75,Finance
HFF Inc,Pennsylvania,HF,New York,58.2,0,209.5,9/11/2006,8.25,18,257.4,Finance
Accuray Inc,California,ARAY,Nasdaq,0,0,143.7,13/11/2006,7.845,18,288,Health
Targa Resources Partners LP,Texas,NGLS,Nasdaq,84.5,294.5,1115.8,15/11/2006,6.736,21,352.8,Oil
US Auto Parts Networks Inc,California,PRTS,Nasdaq,12.5,0.1,68.2,2/11/2006,9.532,10,100,Machinery
VeriChip Corp,Florida,CHIP,Nasdaq,-3.4,11.3,50.9,29/12/2005,37.273,6.5,20.15,Machinery
Converted Organics Inc,Massachusetts,COIN,Nasdaq,-2.7,17.5,1.6,21/06/2006,19.626,5.5,9.9,Chemical
Opnext Inc,California,OPXT,Nasdaq,0,11.9,232.9,27/10/2006,8.783,15,253.640625,Machinery
Salary.com Inc,Massachusetts,SLRY,Nasdaq,-4.3,0,15.9,13/11/2006,13.247,10.5,59.85,IT
Clearwire Corp,Nevada,CLWR,Nasdaq,-164.4,649.3,2627.4,19/12/2006,6.833,25,600,IT
Sourcefire Inc,Maryland,FIRE,Nasdaq,0.5,0,121.7,25/10/2006,9.512,15,86.55,IT
FCStone Group Inc,Iowa,FCSX,Nasdaq,45.4,44.6,1529.3,12/10/2006,8.156,24,122.4,Consulting
Glu Mobile Inc,California,GLUU,Nasdaq,-7.2,0,147.3,19/12/2006,10.479,11.5,83.95,IT
Aruba Networks Inc,California,ARUN,Nasdaq,0,0,56.7,15/12/2006,9.322,11,88,IT
Ocean Power Technologies Inc,New Jersey,OPTT,Nasdaq,-6.8,0.2,30.9,13/11/2006,9.9,20,100,Energy
Pharmasset Inc,New Jersey,VRUS,Nasdaq,0,0.1,38,8/05/2006,13.122,9,45,Chemical
Interactive Brokers Group Inc,Connecticut,IBKR,Nasdaq,0,304.7,32248.7,27/11/2006,2.327,30.01,1200.4,Finance
Tomotherapy Inc,Wisconsin,TOMO,Nasdaq,0,0,121.7,12/02/2007,7.702,19,223.12498,Energy
Solera Holdings Inc,Texas,,New York,0,599.1,1254.9,12/02/2007,7.987,16,420,IT
Skilled Healthcare Group Inc,California,SKH,New York,0,405.6,879.9,10/10/2006,7.921,15.5,258.333323,Health
TechTarget Inc,Massachusetts,TTGT,Nasdaq,0,4.5,92.1,7/02/2007,9.172,13,100.1,Consulting
EnerNOC Inc,Massachusetts,ENOC,Nasdaq,0,4.9,43.6,12/02/2007,10.344,26,97.5,Machinery
Sirtris Pharmaceuticals Inc,Massachusetts,SIRT,Nasdaq,0,8,83.5,1/03/2007,9.609,10,60,Chemical
Clean Energy Fuels Corp,California,CLNE,Nasdaq,0,0.2,139.8,6/09/2006,9.333,12,120,Oil
Response Genetics Inc,California,RGDX,Nasdaq,-1.5,0,8.3,20/12/2006,15.143,7,21,Health
FBR Capital Markets Corp,Virginia,FBCM,Nasdaq,0,0,608.7,10/04/2007,7.906,17,204.595,Finance
Limelight Networks Inc,Arizona,LLNW,Nasdaq,0,0,79.1,22/03/2007,7.87,15,240,Consulting
BioFuel Energy Corp,Colorado,BIOF,Nasdaq,0,55,141.9,8/12/2006,12.206,10.5,55.125,Chemical
Blackstone Group LP,New York,BX,New York,0,86.5,39365.5,22/03/2007,5.304,31,4133.333354,Finance
Pros Holdings Inc,Texas,PRO,New York,0,19.8,25.7,4/04/2007,9.316,11,75.075,IT
Bridgeline Software Inc,Massachusetts,BLSW,Nasdaq,0,0.1,9.4,13/12/2006,14.571,5,15,IT
Dice Holdings Inc,New York,DHX,New York,42.6,124,301.5,4/04/2007,8.132,13,217.1,Consulting
Encore Bancshares Inc,Texas,EBTX,Nasdaq,0,187,1287.2,8/05/2007,9.453,21,41.574981,Finance
Limco-Piedmont Inc,Oklahoma,LIMC,Nasdaq,0,0,40.4,16/04/2007,9.686,11,48.4,Transport
Netezza Corp,Massachusetts,NZ,New York,-4.6,0,69.2,22/03/2007,8.812,12,108,Energy
Airvana Inc,Massachusetts,AIRV,Nasdaq,0,0,283.5,19/04/2007,12.164,7,58.1,IT
Monotype Imaging Holdings Inc,Massachusetts,TYPE,Nasdaq,0,120.7,272.3,26/01/2007,10.11,12,132,IT
Rex Energy Corp,Pennsylvania,REXX,Nasdaq,0,18.2,144.3,27/04/2007,8.178,11,105.6,Oil
ImaRx Therapeutics Inc,Arizona,IMRX,Nasdaq,0,0,31.6,4/05/2007,15.667,5,15,Chemical
Dolan Media Co,Minnesota,DM,New York,0,48.1,213.3,26/04/2007,8.337,14.5,195.119569,Media
Concho Resources Inc,Texas,CXO,New York,0,343.9,1401.5,24/04/2007,8.097,11.5,240.2017305,Oil
Virtusa Corp,Massachusetts,VRTU,Nasdaq,0,0,102.1,6/04/2007,13.818,14,61.6,IT
Masimo Corp,California,MASI,Nasdaq,80.4,22.2,170.3,17/04/2007,8.502,17,202.582642,Energy
VMware Inc,California,,New York,0,450,1390.4,26/04/2007,6.136,29,957,IT
Duff & Phelps Corp,New York,,New York,24.1,77.1,273.5,23/05/2007,10.798,16,132.8,Finance
Compellent Technologies Inc,Minnesota,CML,NYSE Arca,0,0,27.6,2/07/2007,9.147,13.5,81,IT
DuPont Fabros Technology Inc,District of Columbia,DFT,New York,0,296.7,814.8,9/08/2007,7.2,21,640.5,Finance
CVR Energy Inc,Texas,CVI,New York,0,484.3,1848.6,26/09/2006,8.815,19,380,Oil
Vanguard Natural Resources LLC,Texas,VNR,NYSE Arca,42.6,37.4,138.7,25/04/2007,9.133,19,99.75,Oil
Pzena Investment Management Inc,New York,PZN,New York,0,60,99.7,11/06/2007,10.461,18,109.8,Finance
Ulta Salon Cosmetics & Fragrance Inc,Illinois,ULTA,Nasdaq,74.7,55,393.5,6/07/2007,9.342,18,153.713664,Retail
Deltek Inc,Virginia,PROJ,Nasdaq,0,192.8,147.9,8/05/2007,11.131,18,162,IT
SandRidge Energy Inc,Oklahoma,SD,New York,0,1052.3,3170.5,22/06/2007,6.341,26,637.78,Oil
ICx Technologies Inc,Virginia,ICXT,Nasdaq,-89.6,0.2,171.1,3/08/2007,8.625,16,80,Machinery
ARYx Therapeutics Inc,California,ARYX,Nasdaq,-21.5,3.4,35.4,30/08/2007,11,10,50,Chemical
The Ensign Group Inc,California,ENSG,Nasdaq,0,60.6,196,14/05/2007,10.614,16,64,Health
Lumber Liquidators Inc,Virginia,LL,New York,0,0,101.1,23/04/2007,9.273,11,110,Timber
Quest Energy Partners LP,Oklahoma,QELP,Nasdaq,0,94,368.1,19/07/2007,7.416,18,163.8,Oil
Och-Ziff Capital Management Group LLC,New York,OZM,New York,3232.5,748.1,2316.7,2/07/2007,7.271,32,1152,Finance
El Paso Pipeline Partners LP,Texas,EPB,New York,85,463,799,31/08/2007,6.522,20,500,Oil
SuccessFactors Inc,California,SFSF,Nasdaq,0,0.1,57,20/07/2007,9.568,10,107.9,IT
Cardtronics Inc,Texas,CATM,Nasdaq,53.2,308.7,562.5,7/09/2007,8.25,10,120,Consulting
K12 Inc,Virginia,LRN,NYSE Arca,0,8.2,100.2,26/07/2007,9.415,18,108,Services
MEMSIC Inc,Massachusetts,MEMS,Nasdaq,0,0,33.4,28/09/2007,12.6,10,60,Machinery
Orion Energy Systems Inc,Wisconsin,OESX,Nasdaq,3.3,4.5,33.8,20/08/2007,10.478,13,100.000004,Machinery
IPC The Hospitalist Co Inc,California,IPCM,Nasdaq,6.4,7.9,94.4,31/08/2007,10.537,16,83.2,Health
MAKO Surgical Corp,Florida,MAKO,Nasdaq,-19,0,29.2,19/09/2007,12.392,10,51,Health
Heritage-Crystal Clean Inc,Illinois,HCCI,Nasdaq,11.3,0.8,48,19/06/2007,18.812,11.5,22.011,Oil
CardioNet Inc,Pennsylvania,BEAT,Nasdaq,6.4,1.4,150.1,17/08/2007,10.866,18,81,Health
Visa Inc,California,V,New York,0,40,27742,9/11/2007,3.032,44,17864,Finance
American Water Works Co Inc,New Jersey,AWK,New York,0,4696.3,12268,27/08/2007,3.206,21.5,1247,Transport
Colfax Corp,Maryland,CFX,New York,0,94.4,875.5,4/01/2008,8.167,18,337.5,Machinery
Energy Recovery Inc,California,ERII,Nasdaq,0,0.5,33.8,1/04/2008,9.457,8.5,119,Machinery
Rackspace Hosting Inc,Texas,RAX,New York,0,254.8,408.3,25/04/2008,8.721,12.5,187.5,IT
SolarWinds Inc,Texas,SWI,New York,0,44.1,89.1,21/03/2008,9.239,12.5,151.4534875,IT
OpenTable Inc,California,OPEN,Nasdaq,6.1,0,51.5,30/01/2009,11.348,20,60,Consulting
Select Medical Holdings Corp,Pennsylvania,SEM,New York,315.4,1521.4,2532.7,25/07/2008,6.982,10,300,Health
Talecris Biotherapeutics Holdings Corp,North Carolina,TLCR,Nasdaq,0,605.3,1373.6,27/07/2007,5.97,19,950,Chemical
Mistras Group Inc,New Jersey,MG,New York,0,18.9,171.1,10/06/2008,9.962,12.5,108.75,Engineering
Cellu Tissue Holdings Inc,Georgia,CLU,New York,0,242.5,502.1,16/10/2009,9.412,13,107.9,Chemical
Symetra Financial Corp,Washington,SYA,New York,227.3,448.9,22246.3,5/10/2009,6.513,12,364.8,Finance
Ironwood Pharmaceuticals Inc,Massachusetts,IRWD,Nasdaq,-67.9,1.6,162.5,20/11/2009,8.159,11.25,187.5000038,Chemical
Primerica Inc,Georgia,PRI,New York,0,0,9973.5,5/11/2009,10.116,15,320.4,Finance
Chatham Lodging Trust,Florida,CLDT,New York,3.5,0,151.2,4/11/2009,8.159,20,150,Finance
Douglas Dynamics Inc,Wisconsin,PLOW,New York,40.8,120.9,398.5,29/01/2010,9.842,11.25,112.5,Machinery
CBOE Holdings Inc,Illinois,CBOE,Nasdaq,0,0,632.5,11/03/2010,7.109,29,339.3,Finance
Oasis Petroleum Inc,Texas,OAS,New York,2.4,0,622.6,4/03/2010,6.592,14,588,Oil
Motricity Inc,Washington,MOTR,Nasdaq,-1,0,174.2,22/01/2010,20.203,10,60,Consulting
Tesla Motors Inc,California,TSLA,Nasdaq,-60,46.1,145.3,29/01/2010,8.231,17,226.1,Machinery
Envestnet Inc,Illinois,ENV,New York,2.4,0.2,83.4,26/03/2010,10.066,9,63,Consulting
RealPage Inc,Texas,RP,Nasdaq,0,34.5,142.1,29/04/2010,8.021,11,135.3,IT
SciQuest Inc,North Carolina,SQI,Nasdaq,3.8,0,38.7,26/03/2010,10.814,9.5,57,IT
The KEYW Holding Corp,Maryland,KEYW,Nasdaq,0,0,138.5,17/06/2010,1.284,10,91,Engineering
Campus Crest Communities Inc,North Carolina,CCG,New York,0,103.3,327.5,14/05/2010,7.865,12.5,354.1666625,Finance
Fresh Market Inc,North Carolina,TFM,Nasdaq,96.3,82.5,249.1,3/05/2010,1.602,22,289.85,Retail
LPL Investment Holdings Inc,Massachusetts,LPLA,Nasdaq,309.4,1162.7,3364.9,4/06/2010,6.044,30,469.72446,Finance
FXCM Inc,New York,FXCM,New York,0,0,591.7,3/09/2010,3.18,14,210.84,Finance
FleetCor Technologies Inc,Georgia,FLT,New York,175.6,313.8,1209.5,15/04/2010,7.339,23,291.525,Consulting
BankUnited Inc,Florida,BKU,New York,375.5,2250.5,10869.6,13/08/2010,5.555,27,783,Finance
Summit Hotel Properties Inc,Texas,INN,New York,32.9,0,493,9/08/2010,9.382,9.75,253.5,Finance
Kinder Morgan Inc,Texas,KMI,New York,1977,13866.8,28908.1,19/07/2010,3.577,30,2863.998,Oil
CVR Partners LP,Texas,UAN,New York,50,125,479.5,20/12/2010,6.936,16,307.2,Chemical
Zipcar Inc,Massachusetts,ZIP,Nasdaq,8,55.7,248.9,10/06/2009,7.983,18,174.313962,Transport
Air Lease Corp,California,AL,New York,0,1348.5,2781.5,14/01/2011,5.933,26.5,802.50003,Machinery
LinkedIn Corp,California,LNKD,New York,41.6,0,265.3,6/01/2011,7.937,45,352.8,IT
Bankrate Inc,Florida,RATE,New York,38.7,0,260.3,15/04/2011,20.148,15,300,Consulting
Vanguard Health Systems Inc,Tennessee,VHS,New York,0,2325.8,4114.1,15/04/2011,6.793,18,450,Health
HomeAway Inc,Texas,AWAY,Nasdaq,31.4,0,518,9/02/2011,8.409,27,216,IT
Zillow Inc,Washington,Z,Nasdaq,0,0,33.9,16/03/2011,11.082,20,69.24,IT
Francesca's Holdings Corp,Texas,FRAN,Nasdaq,0,41,66.7,24/06/2010,8.422,17,170,Retail
Dunkin Brands Group Inc,Massachusetts,DNKN,Nasdaq,136.6,1477.3,3124.3,1/04/2011,7.584,19,422.75,Restaurant
The Chefs Warehouse Inc,Connecticut,CHEF,Nasdaq,27.7,39.3,93.8,12/04/2011,8.259,15,135,Retail
Groupon Inc,Illinois,GRPN,Nasdaq,0,0,790.2,30/12/2010,6.708,20,700,IT
Rentech Nitrogen Partners LP,California,RNF,New York,28.8,0,223,5/08/2011,8.333,20,300,Chemical
Digital Domain Media Group Inc,Florida,DDMG,New York,0,37.1,178.9,16/05/2011,16.684,8.5,41.82,Media
Jive Software Inc,California,JIVE,Nasdaq,-41.9,10.2,143.9,19/05/2010,8.422,12,161.2752,IT
Caesars Entertainment Corp,Nevada,CZR,Nasdaq,1642.6,19791.3,28515.6,15/11/2011,17.684,9,16.301817,Services
EPAM Systems Inc,Pennsylvania,EPAM,New York,60.4,0,233.7,10/06/2011,11.589,12,72,IT
FX Alliance Inc,New York,FX,New York,52.5,0,201.2,19/09/2011,9.413,12,62.4,Finance
CUI Global Inc,Oregon,CUGI,Nasdaq,1.6,7.3,32,31/10/2011,19,4.5,9.999999,Energy
Bazaarvoice Inc,Texas,,Nasdaq,0,0,46.8,26/08/2011,9.656,12,113.811552,IT
ExactTarget Inc,Indiana,ET,New York,-8,0,193.3,12/09/2011,8.796,19,161.5,IT
Vantiv Inc,Ohio,VNTV,New York,373.3,1213.4,3485.4,12/07/2011,6.384,17,500.004,Consulting
CafePress Inc,California,PRSS,Nasdaq,13.7,2.6,86.9,10/06/2011,10.275,19,85.5,Retail
Millennial Media Inc,Maryland,MM,New York,0,0,61.9,28/07/2010,75.433,13,132.6,IT
Rexnord Corp,Wisconsin,RXN,New York,0,2413.4,3207.4,26/05/2011,5.568,18,426.315798,Machinery
Forum Energy Technologies Inc,Texas,FET,New York,0,349.9,1667.2,31/08/2011,6.847,20,378.94732,Oil
MRC Global Inc,Texas,MRC,New York,321,1355.1,3478.5,12/01/2012,6.541,21,477.272733,Machinery
Oaktree Capital Group LLC,California,OAK,New York,257.9,830.4,45425,17/06/2011,19.599,43,380.249989,Finance
Digital Cinema Destinations Corp,New Jersey,DCIN,Nasdaq,0,0,4.7,20/12/2011,13.083,6.1,13.42,Media
Splunk Inc,California,,Nasdaq,0,0,82.2,12/01/2012,7.881,17,229.5,IT
Midstates Petroleum Co Inc,Texas,MPO,New York,0,151.7,688.6,14/11/2011,6.444,13,312,Oil
Proofpoint Inc,California,PFPT,Nasdaq,0,3.1,64.7,5/05/2011,8.4,13,82.282473,IT
EverBank Financial Corp,Florida,EVER,New York,0,2607.4,13631.6,8/10/2010,10.096,10,192.2,Finance
WageWorks Inc,California,WAGE,New York,28.3,0,369.1,25/04/2011,14.114,9,58.5,Consulting
Ignite Restaurant Group Inc,Texas,IRG,Nasdaq,38.5,74.5,192.4,29/07/2011,8.917,14,80.769234,Restaurant
Facebook Inc,California,FB,Nasdaq,0,394,6859,30/07/2010,1.146,38,16006.87737,IT
Chuy's Holdings Inc,Texas,CHUY,Nasdaq,16.7,4.2,120.9,5/08/2011,9.424,13,75.833329,Restaurant
Del Frisco's Restaurant Group LLC,Texas,DFRG,Nasdaq,35.8,0,236.8,24/01/2012,11.319,13,75.4,Restaurant
Eloqua Inc,Virginia,ELOQ,Nasdaq,0,0,34,24/08/2011,8.828,11.5,92,IT
Hi-Crush Partners LP,Texas,HCLP,New York,33.3,0.9,142.9,6/07/2012,7.018,17,191.25,Mining
Capital Bank Financial Corp,North Carolina,CBF,Nasdaq,45.8,140.8,6163.2,23/06/2011,8.643,18,180,Finance
Spirit Realty Capital Inc,Arizona,SRC,New York,226.3,1904.9,3224.7,10/11/2011,8.086,15,435,Finance
Qualys Inc,California,QLYS,Nasdaq,6,1.1,74,8/06/2012,8.957,12,90.9,IT
Berry Plastics Group Inc,Indiana,,New York,683,3932,5108,23/03/2012,6.559,16,470.588224,Chemical
Lehigh Gas Partners LP,Pennsylvania,LGP,New York,44.5,257.5,300.7,11/05/2012,10,20,120,Oil
Xplore Technologies Corp,Texas,XPLR,Nasdaq,3.4,0,11.6,26/07/2012,19.948,5,10,Energy
Ruckus Wireless Inc,California,RKUS,New York,20.6,0,123.1,1/05/2012,9.579,15,126,IT
Northwest Biotherapeutics Inc,Maryland,NWBO,Nasdaq,-37.5,1.9,0.4,29/06/2012,12,4,12,Chemical
United Insurance Holdings Corp,Florida,UIHC,Nasdaq,20.7,14.7,336.9,23/10/2012,6.139,5.15,27.29538625,Finance
Zoetis Inc,New Jersey,ZTS,New York,941,3640,6046,20/02/2012,3.651,26,2238.6,Chemical
Boise Cascade Co,Idaho,BBC,New York,100.8,250,836.4,15/11/2012,6.574,21,247.058826,Timber
ConnectOne Bancorp Inc,New Jersey,CNOB,Nasdaq,17,77.6,925.6,11/01/2013,6.332,28,44.8,Finance
TherapeuticsMD Inc,Florida,TXMD,NYSE MKT,-33.2,0,5.8,7/03/2013,8.252,1.7,50.0000005,Chemical
West Corp,Nebraska,WSTC,Nasdaq,655.1,3587.4,3448.2,2/10/2009,6.573,20,425.5,Consulting
Pinnacle Foods Inc,New Jersey,PF,New York,381.6,2585.8,4400,27/02/2012,5.817,20,580,Food
"Independent Bank Group Inc, McKinney,Texas",Texas,IBTX,Nasdaq,29,199.2,1764.1,27/02/2013,7.929,26,83.2,Finance
ING US Inc,New York,VOYA,New York,0,3265.7,220850,15/11/2010,4.048,19.5,1271.249987,Finance
Cyan Inc,California,CYNI,New York,-19.7,4.2,63.1,20/11/2012,9.937,11,88,IT
BioAmber Inc,Minnesota,BIOA,New York,0,0.3,49.3,10/11/2011,10.125,10,80,Chemical
Customers Bancorp Inc,Pennsylvania,CUUU,Nasdaq,45.4,507,3458.6,9/05/2013,4.903,16.75,89.9999945,Finance
Marketo Inc,California,MKTO,Nasdaq,0,5.3,75.9,25/01/2013,10.061,13,78.773617,IT
Tableau Software Inc,Washington,DATA,New York,0,0,89.4,22/04/2012,7.883,31,254.2,IT
ChannelAdvisor Corp,North Carolina,ECOM,New York,-2,9.7,48.7,28/09/2012,10.3,14,80.5,IT
Global Brass & Copper Holdings Inc,Illinois,BRSS,New York,73.4,431,575.3,28/10/2011,11.299,11,77,Metal
RCS Capital Corp,New York,RCAP,New York,36.4,0,61.6,22/02/2013,11,20,50,Finance
Textura Corp,Illinois,TXTR,New York,-12.5,10.7,64.5,18/03/2013,8.754,15,75,IT
Gigamon Inc,California,GIMO,New York,0,0,49.5,13/07/2012,8.745,19,128.25,IT
PTC Therapeutics Inc,New Jersey,,Nasdaq,-24.7,0,59.9,16/05/2013,7.905,15,125.58,Chemical
Truett-Hurst Inc,California,THST,Nasdaq,0,3.5,21.2,11/03/2013,13.63,6,16.2,Food
