company,state,ticker,exchange,profit,debt,assets,ipo_date,ipo_fees,ipo_price,ipo_amount,industry
NATCO Group Inc,Texas,NTG,New York,11.2,2.3,106.2,30/03/1998,7.928,10,75,Oil
Selectica Inc,California,SLTCD,Nasdaq,0,0,27.1,10/12/1999,8.087,30,120,IT
Allos Therapeutics Inc,Colorado,,Nasdaq,0,0.1,93,26/01/2000,8.111,18,90,Chemical
GoAmerica Inc,New Jersey,GOAM,Nasdaq,0,0,28.8,18/01/2000,7.875,16,160,Communications
Pixelworks Inc,California,PXLW,Nasdaq,0,0,44.6,25/02/2000,8.089,10,57.5,Machinery
Community Health Systems Inc,Tennessee,CYH,New York,0,1296.4,1937.7,6/03/2000,0.379,13,243.75,Health
"Pacific Mercantile Bancorp, Costa Mesa,California",California,PMBC,Nasdaq,0,0,119.2,28/03/2000,10.781,8,20,Finance
Dendreon Corp,Washington,DNDN,Nasdaq,0,2.3,19,8/03/2000,10.333,10,45,Chemical
Charles River Laboratories International Inc,Massachusetts,CRL,New York,0,393.4,301,25/04/2000,7.582,16,224,Chemical
Arena Pharmaceuticals Inc,California,ARNA,Nasdaq,0,1.1,36,28/04/2000,7.966,18,108,Chemical
Lantronix Inc,California,LTRX,Nasdaq,0,0.1,20.4,19/05/2000,9.905,10,60,Energy
TeleCommunication Systems Inc,Maryland,TSYS,Nasdaq,0,1.3,91.2,25/04/2000,8.415,17,79.9,IT
AtheroGenics Inc,Georgia,AGIX,Nasdaq,0,0.1,12.2,25/02/2000,9.536,8,48,Chemical
American Medical Systems Holdings Inc,Minnesota,AMMD,Nasdaq,0,40,176.9,19/05/2000,8.265,11,68.75,Health
Dyax Corp,Massachusetts,DYAX,Nasdaq,0,1.7,30.5,19/05/2000,8.598,15,58.779135,Chemical
PECO II Inc,Ohio,PIII,Nasdaq,0,5,78,22/05/2000,8.391,15,75,Machinery
EDEN Bioscience Corp,Washington,EDEN,Nasdaq,0,0.3,11.7,7/07/2000,7.275,15,87,Chemical
DURECT Corp,California,DRRX,Nasdaq,0,0.9,45.3,20/04/2000,8.299,12,84,Chemical
Hydril Co LP,Texas,HYDL,Nasdaq,0,61.5,205.1,9/06/2000,7.958,17,127.5,Oil
Evergreen Solar Inc,Massachusetts,ESLR,Nasdaq,0,0,56.9,4/08/2000,9.5,14,42,Machinery
Adolor Corp,Pennsylvania,ADLR,Nasdaq,-10.4,0.2,90.3,8/02/2000,8.766,15,90,Agriculture
Beacon Power Corp,Massachusetts,BCON,Nasdaq,0,0.1,24.2,9/08/2000,9.13,6,48,Engineering
Peet's Coffee & Tea Inc,California,PEET,Nasdaq,4.2,1.4,47.4,13/10/2000,12.939,8,26.4,Food
Investors Capital Holdings Ltd,Massachusetts,ICH,American,0,0,5.1,14/08/2000,20,8,8,Finance
Seattle Genetics Inc,Washington,SGEN,Nasdaq,-7.7,0,76.7,20/11/2000,9.653,7,49,Agriculture
Encore Acquisition Co,Texas,EAC,New York,45.3,52.1,343.8,6/10/2000,8.379,14,100.1,Oil
Alliance Data Systems Corp,Texas,ADS,New York,0,204.5,1304.8,13/01/2000,8.717,12,156,Consulting
The Princeton Review Inc,Massachusetts,REVU,Nasdaq,0,5.6,61.6,15/08/2000,11.882,11,59.4,Services
Natus Medical Inc,California,BABY,Nasdaq,0,0,12.3,18/08/2000,10.545,11,55,Energy
MedCath Corp,North Carolina,MDTH,Nasdaq,0,210.7,453.8,4/05/2001,7.109,25,150,Health
Inergy LP,Missouri,NRGY,Nasdaq,0,43.7,146.8,14/03/2001,13.423,22,35.2,Retail
Omnicell Inc,California,OMCL,Nasdaq,0,0,52,14/03/2001,10.313,7,42,IT
Penn Virginia Resource Partners LP,Pennsylvania,PVR,New York,0,43.4,188.7,19/07/2001,9.231,21,136.5,Mining
Northwest Biotherapeutics Inc,Maryland,NWBO,Nasdaq,0,0.1,9.3,13/08/2001,13.5,5,20,Agriculture
Synaptics Inc,California,SYNA,Nasdaq,0,1.9,33.1,22/02/2001,9.53,11,55,IT
ZymoGenetics Inc,Washington,ZGEN,Nasdaq,-31.6,0,326.1,10/09/2001,9.135,12,107.28,Agriculture
Sunoco Logistics Partners LP,Pennsylvania,SXL,New York,78.7,252.3,949.4,19/10/2001,11.813,20.25,101.25,Oil
ManTech International Corp,Virginia,MANT,Nasdaq,36.1,26.1,238.1,23/11/2001,8.649,16,115.2,IT
Asbury Automotive Group Inc,Georgia,ABG,New York,158.3,429.7,1461,27/07/2001,10.179,16.5,127.05,Services
Regal Entertainment Group,Tennessee,RGC,New York,0,710.8,2239.9,11/03/2002,7.615,19,342,Media
Kirkland's Inc,Tennessee,KIRK,Nasdaq,0,12.2,90.3,23/04/2002,8.467,15,90,Retail
Dick's Sporting Goods Inc,Pennsylvania,DKS,New York,69.4,102,377.8,17/07/2002,7.002,12,87.47178,Retail
Wynn Resorts Ltd,Nevada,WYNN,Nasdaq,0,382.2,578.8,17/06/2002,4.377,13,449.995,Services
Portfolio Recovery Associates Inc,Virginia,PRAA,Nasdaq,0,0.9,65.5,6/09/2002,8.183,13,50.7,Finance
Crosstex Energy LP,Texas,XTEX,Nasdaq,4.4,47.5,168.4,7/08/2002,12.435,20,40,Oil
Maguire Properties Inc,California,MPG,New York,0,1031.4,675.9,12/11/2002,8.76,19,693.69,Finance
Molina Healthcare Inc,California,MOH,New York,0,0,244.1,30/12/2002,9.033,17.5,115.5,Health
Texas Capital Bancshares Inc,Texas,TCBI,Nasdaq,8.8,20,2003.2,9/08/2002,7.642,11,66,Finance
Ashford Hospitality Trust Inc,Texas,AHT,New York,0,16.5,92.7,15/05/2003,8.358,9,202.5,Finance
National Financial Partners Corp,New York,NFP,New York,51.7,0,595.4,9/05/2003,8.4,23,208.540494,Finance
SigmaTel Inc,Texas,SGTL,Nasdaq,0,0.1,29.1,3/07/2003,8.007,15,150,Machinery
AMIS Holdings Inc,Idaho,AMIS,Nasdaq,0,253.8,475.6,15/08/2003,6.333,20,600,Machinery
Journal Communications Inc,Wisconsin,JRN,New York,150,0,742.9,14/05/2003,8.075,15,258.75,Media
RedEnvelope Inc,California,REDE,Nasdaq,-4.5,0,48.8,13/06/2003,9.896,14,30.8,Retail
LKQ Corp,Illinois,LKQ,Nasdaq,0,2.4,174.7,28/07/2003,8.66,13,91,Machinery
First Potomac Realty Trust,Maryland,FPO,New York,0,126.5,126,18/07/2003,8.778,15,112.5,Finance
Quality Distribution Inc,Florida,QLTY,Nasdaq,63.5,272.8,379.1,29/08/2003,8.643,17,119,Transport
Tessera Technologies Inc,California,TSRA,Nasdaq,0,0,31.6,4/09/2003,9.051,13,97.5,Machinery
Whiting Petroleum Corp,Colorado,WLL,New York,0,188,502.5,25/07/2003,7.383,15.5,232.5,Oil
Buffalo Wild Wings Inc,Minnesota,BWLD,Nasdaq,13.4,0,54.3,11/09/2003,8.765,17,51,Restaurant
American Equity Investment Life Holding Co,Iowa,AEL,New York,0,148.3,6580.3,15/09/2003,7.902,9,168.3,Finance
Knology Inc,Georgia,KNOL,Nasdaq,121.8,270.3,417.6,1/10/2003,10.575,9,54,IT
Crosstex Energy Inc,Texas,XTXI,Nasdaq,45.4,62.7,375.8,30/10/2003,9.362,19.5,44.967,Oil
The Bank Holdings,Nevada,TBHS,Nasdaq,0,0,166.1,17/12/2003,9.256,11,14.85,Finance
Dynavax Technologies Corp,California,DVAX,Nasdaq,0,0,91.5,24/10/2003,9.979,7.5,45,Chemical
TNS Inc,Virginia,TNS,New York,57,67,342.9,3/11/2003,10.017,18,79.56,Consulting
Hornbeck Offshore Services Inc,Louisiana,HOS,New York,54.2,172.8,365.2,19/09/2003,8.381,13,78,Transport
Memory Pharmaceuticals Corp,New Jersey,MEMY,Nasdaq,-26.3,2.4,37.7,23/12/2003,11.969,7,35,Agriculture
Corcept Therapeutics Inc,California,CORT,Nasdaq,-9.5,0,10.5,10/02/2004,9.037,12,54,Chemical
ProCentury Corp,Ohio,PROS,Nasdaq,0,25,347.1,18/12/2003,8.07,10.5,93.45,Finance
SiRF Technology Holdings Inc,California,SIRF,Nasdaq,0,2.4,93.5,10/02/2004,8.449,12,132,Machinery
Greenhill & Co Inc,New York,GHL,New York,86.9,0,39.3,11/03/2004,11.472,17.5,87.5,Finance
NuVasive Inc,California,NUVA,Nasdaq,0,0,20.8,5/03/2004,9.245,11,71.5,Health
Blue Nile Inc,Washington,NILE,Nasdaq,0,0,38.6,11/03/2004,9.268,20.5,76.67,IT
Acadia Pharmaceuticals Inc,California,ACAD,Nasdaq,-15.2,0.9,27.4,27/02/2004,10.714,7,35,Chemical
Republic Airways Holdings Inc,Indiana,RJET,Nasdaq,0,482.4,678.4,11/03/2002,10.344,13,65,Transport
Alnylam Pharmaceuticals Inc,Massachusetts,ALNY,Nasdaq,0,5.7,39.3,27/02/2004,12.507,6,30,Agriculture
CB Richard Ellis Group Inc,California,CBG,New York,121.9,752.4,1893.9,17/02/2004,6.5,19,456,Finance
Jackson Hewitt Tax Service Inc,New Jersey,JTX,New York,72.4,175,582,15/03/2004,6.284,17,637.5,Finance
Senomyx Inc,California,SNMX,Nasdaq,-17.2,0,18.7,29/03/2004,10.669,6,36,Chemical
